FIPS,cntyName.ihme2,obsty_male_2011,obsty_female_2011,phys_act_male_2011,phys_act_female_2011
08065,"Lake, CO",25.39,26.78,60.25,61.24
08067,"La Plata, CO",23.14,22.77,71.85,67.26
08069,"Larimer, CO",24.94,24.34,66.91,67.31
08071,"Las Animas, CO",33.92,36.24,59.39,53.79
08073,"Lincoln, CO",35,36.72,50.18,50.87
08075,"Logan, CO",32.77,36.33,55.87,58.93
08077,"Mesa, CO",29.83,26.98,69.14,61.26
08079,"Mineral, CO",30.57,29.73,63.82,63.46
08081,"Moffat, CO",33.9,33.05,51.72,59.52
08083,"Montezuma, CO",27.96,31.22,58.12,59.67
08085,"Montrose, CO",28.72,28.22,61.42,60.08
08087,"Morgan, CO",35.09,37.58,55.96,59.06
08089,"Otero, CO",36.58,40.39,56.32,51.83
08091,"Ouray, CO",26.94,25.41,64.48,65.23
08093,"Park, CO",26.85,23.91,67.81,63.61
08095,"Phillips, CO",35.79,37.16,55.78,56.61
08097,"Pitkin, CO",21.25,18.48,68.89,72.44
08099,"Prowers, CO",36.2,38.97,52.85,50.7
08101,"Pueblo, CO",33.08,35.62,64.96,54.93
08103,"Rio Blanco, CO",26.93,24.16,61.61,68.83
08105,"Rio Grande, CO",31.26,33.55,58.11,57.32
08107,"Routt, CO",23.26,18.95,72.93,74.68
08109,"Saguache, CO",33.34,37.63,52.15,53.35
08111,"San Juan, CO",31.08,32.28,59.49,60.76
08113,"San Miguel, CO",29.57,28.75,65.75,63.38
08115,"Sedgwick, CO",35.6,37.27,54.01,55.64
08117,"Summit, CO",23.66,22.26,72.75,67.67
08119,"Teller, CO",25.11,22.56,65.64,62.99
08121,"Washington, CO",34.01,34.75,55.5,58.13
08123,"Weld, CO",27.59,28.48,63.98,62.56
08125,"Yuma, CO",35.74,35.83,55.48,55.8
09001,"Fairfield, CT",27.01,26.86,58.23,55.57
09003,"Hartford, CT",31.77,34.62,55.39,52.57
09005,"Litchfield, CT",30.08,28.72,56.55,58.59
09007,"Middlesex, CT",32.2,30.78,62.21,58.85
09009,"New Haven, CT",32.54,36.19,57.61,51.95
09011,"New London, CT",31.5,32.83,60.74,56.24
09013,"Tolland, CT",30.75,32.68,58.72,60.88
09015,"Windham, CT",35.54,36.63,52.11,53.95
10001,"Kent, DE",40.19,44.19,48.4,44.84
10003,"New Castle, DE",35.65,35.46,54.19,50.53
10005,"Sussex, DE",38,39.73,57.4,48.7
11001,"District of Columbia, DC",22.37,35.34,62.55,57.94
12001,"Alachua, FL",28.59,33.71,63.32,53.81
12003,"Baker, FL",42.67,42.06,48.17,44.75
12005,"Bay, FL",32.24,35.69,60.92,52.42
12007,"Bradford, FL",43.69,46.61,48.92,41.18
12009,"Brevard, FL",35.58,34.33,63.82,57.42
12011,"Broward, FL",33.38,30.48,54.24,51.08
12013,"Calhoun, FL",37.39,46.92,47.78,41.81
12015,"Charlotte, FL",33.01,34.9,60.5,59.14
12017,"Citrus, FL",38.79,35.29,59.34,54.68
12019,"Clay, FL",36.73,34.94,56.98,51.21
12021,"Collier, FL",33.85,27.6,57.92,61.09
12023,"Columbia, FL",41.15,41.81,52.76,43.89
12027,"DeSoto, FL",38.22,43.96,47.07,44.56
12029,"Dixie, FL",42.25,40.97,52.5,48.53
12031,"Duval, FL",36.07,37.49,56.36,51.27
12033,"Escambia, FL",33.83,36.29,53.41,53.13
12035,"Flagler, FL",35.78,33.22,62.05,57.54
12037,"Franklin, FL",36.9,38.18,57.52,50.34
12039,"Gadsden, FL",37.27,51.05,46.38,40.69
12041,"Gilchrist, FL",38.91,40.89,53.16,47.72
12043,"Glades, FL",37.75,40.04,46.46,50.09
12045,"Gulf, FL",34.95,38.51,54.5,45.65
12047,"Hamilton, FL",43.84,44.82,43.19,44.25
12049,"Hardee, FL",44.93,47.51,43.7,40.11
12051,"Hendry, FL",39.2,46.25,39.14,44.86
12053,"Hernando, FL",36.7,34.34,53.95,55.96
12055,"Highlands, FL",38.12,39.41,53.95,48.09
12057,"Hillsborough, FL",33.29,35.85,53.51,53.24
12059,"Holmes, FL",38.4,41.78,40.63,44.73
12061,"Indian River, FL",33.45,31.19,60.88,57.66
12063,"Jackson, FL",37.54,44.11,51.21,48.28
12065,"Jefferson, FL",37.26,45.64,50.74,49.09
12067,"Lafayette, FL",38.11,39.79,52.88,53.35
12069,"Lake, FL",36.76,35.03,58.81,55.38
12071,"Lee, FL",34.95,32.34,58.41,58.88
12073,"Leon, FL",33.29,37.14,60.67,57.61
12075,"Levy, FL",40.12,39.85,50.64,49.99
12077,"Liberty, FL",38.22,43.49,46.7,46.16
12079,"Madison, FL",39.73,47.35,47.94,49.29
12081,"Manatee, FL",34.49,32.93,56.56,57.5
12083,"Marion, FL",37.6,38.77,57.74,54.9
12085,"Martin, FL",30.41,25.97,61.65,60.19
12086,"Miami-Dade, FL",33.85,34.02,50.24,44.66
12087,"Monroe, FL",30.49,24.49,60.83,58.51
12089,"Nassau, FL",36.67,32.77,57.54,55.45
12091,"Okaloosa, FL",35.06,30.98,59.61,51.83
12093,"Okeechobee, FL",40.33,43.18,45.76,43.21
12095,"Orange, FL",32.99,35.41,56.75,51.19
12097,"Osceola, FL",36.07,39.6,49.86,50.45
12099,"Palm Beach, FL",31.26,30.54,57.47,56.54
12101,"Pasco, FL",35.72,33.84,53.3,55.59
12103,"Pinellas, FL",32.53,33.04,61.17,53.55
12105,"Polk, FL",38.62,41.96,53.58,49.23
12107,"Putnam, FL",41.99,44.02,46.79,47.04
12109,"St. Johns, FL",33.32,28.61,63.91,64.22
12111,"St. Lucie, FL",38.05,36.19,53.27,55.03
12113,"Santa Rosa, FL",35.1,30.61,60.26,54.77
12115,"Sarasota, FL",31.8,25.88,67.1,60.48
12117,"Seminole, FL",33.91,31.06,56.99,55.53
12119,"Sumter, FL",38.57,35.71,56.98,55.23
12121,"Suwannee, FL",38.55,41.03,50.24,51.47
12123,"Taylor, FL",40.07,42.27,46.85,48.01
12125,"Union, FL",45.5,47.68,50.02,43.08
12127,"Volusia, FL",34.9,34.44,56.96,56.71
12129,"Wakulla, FL",39.33,40.25,56.5,53.14
12131,"Walton, FL",34.52,32.55,59.96,51.44
12133,"Washington, FL",36.54,42.79,49.04,43.64
13001,"Appling, GA",40.7,45.88,49.51,41.7
13003,"Atkinson, GA",41.41,48.23,39.97,38.88
13005,"Bacon, GA",40.01,46.43,42.23,39.18
13007,"Baker, GA",39.03,47.86,50.75,47.6
13009,"Baldwin, GA",38.02,45.01,52.37,45.37
13011,"Banks, GA",38.66,39.4,45,50.18
13013,"Barrow, GA",36.94,38.84,49.43,49.09
13015,"Bartow, GA",37.3,36.28,49.87,50.04
13017,"Ben Hill, GA",39.66,47.83,42.38,41.13
13019,"Berrien, GA",40.98,43.95,45.24,43.25
