"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Mellette County, SD"	"46095"	"2020 "	"2020"	Suppressed	256	Suppressed
	"Miner County, SD"	"46097"	"2018"	"2018"	Suppressed	311	Suppressed
	"Miner County, SD"	"46097"	"2019"	"2019"	Suppressed	323	Suppressed
	"Miner County, SD"	"46097"	"2020 "	"2020"	Suppressed	356	Suppressed
	"Minnehaha County, SD"	"46099"	"2018"	"2018"	Suppressed	19145	Suppressed
	"Minnehaha County, SD"	"46099"	"2019"	"2019"	Suppressed	20044	Suppressed
	"Minnehaha County, SD"	"46099"	"2020 "	"2020"	Suppressed	21189	Suppressed
	"Moody County, SD"	"46101"	"2018"	"2018"	Suppressed	910	Suppressed
	"Moody County, SD"	"46101"	"2019"	"2019"	Suppressed	922	Suppressed
	"Moody County, SD"	"46101"	"2020 "	"2020"	Suppressed	962	Suppressed
	"Pennington County, SD"	"46103"	"2018"	"2018"	Suppressed	15541	Suppressed
	"Pennington County, SD"	"46103"	"2019"	"2019"	Suppressed	16502	Suppressed
	"Pennington County, SD"	"46103"	"2020 "	"2020"	Suppressed	17906	Suppressed
	"Perkins County, SD"	"46105"	"2018"	"2018"	Suppressed	508	Suppressed
	"Perkins County, SD"	"46105"	"2019"	"2019"	Suppressed	525	Suppressed
	"Perkins County, SD"	"46105"	"2020 "	"2020"	Suppressed	525	Suppressed
	"Potter County, SD"	"46107"	"2018"	"2018"	Suppressed	429	Suppressed
	"Potter County, SD"	"46107"	"2019"	"2019"	Suppressed	426	Suppressed
	"Potter County, SD"	"46107"	"2020 "	"2020"	Suppressed	444	Suppressed
	"Roberts County, SD"	"46109"	"2018"	"2018"	Suppressed	1482	Suppressed
	"Roberts County, SD"	"46109"	"2019"	"2019"	Suppressed	1488	Suppressed
	"Roberts County, SD"	"46109"	"2020 "	"2020"	Suppressed	1517	Suppressed
	"Sanborn County, SD"	"46111"	"2018"	"2018"	Suppressed	350	Suppressed
	"Sanborn County, SD"	"46111"	"2019"	"2019"	Suppressed	354	Suppressed
	"Sanborn County, SD"	"46111"	"2020 "	"2020"	Suppressed	355	Suppressed
	"Shannon County, SD"	"46113"	"2018"	"2018"	Suppressed	877	Suppressed
